"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-1-28","10,943.83","11,295.73","11,367.56","10,765.91","","-3.12%"
"2024-1-21","11,295.73","11,055.93","11,329.94","10,866.70","","2.17%"
"2024-1-14","11,055.93","11,044.82","11,118.55","10,675.21","","0.10%"
"2024-1-7","11,044.82","11,179.57","11,201.63","10,986.60","","-1.21%"
"2023-12-31","11,179.57","11,503.58","11,505.32","11,126.58","","-2.82%"
"2023-12-24","11,503.58","11,199.73","11,534.89","11,108.53","","2.71%"
"2023-12-17","11,199.73","11,098.43","11,265.75","11,003.77","","0.91%"
"2023-12-10","11,098.43","11,371.83","11,434.64","11,088.81","","-2.40%"
"2023-12-3","11,371.83","11,649.06","11,658.99","11,241.73","","-2.38%"
"2023-11-26","11,649.06","11,889.77","11,889.77","11,565.49","","-2.02%"
"2023-11-19","11,889.77","11,934.30","12,122.45","11,866.02","","-0.37%"
"2023-11-12","11,934.30","12,034.82","12,117.01","11,861.56","","-0.87%"
"2023-11-5","12,039.56","12,153.74","12,254.96","12,003.47","","-0.94%"
"2023-10-29","12,153.74","11,958.57","12,251.74","11,921.99","","1.63%"
"2023-10-22","11,958.57","11,758.95","12,009.78","11,593.77","","1.70%"
"2023-10-15","11,758.95","12,249.00","12,255.61","11,712.23","","-4.00%"
"2023-10-8","12,249.00","12,398.05","12,442.12","12,194.80","","-1.20%"
"2023-9-24","12,398.05","12,659.22","12,659.22","12,382.66","","-2.06%"
"2023-9-17","12,659.22","12,484.38","12,665.29","12,370.30","","1.40%"
"2023-9-10","12,484.38","12,566.75","12,719.45","12,457.46","","-0.66%"
"2023-9-3","12,566.75","12,711.40","12,960.18","12,521.01","","-1.14%"
"2023-8-27","12,711.40","12,494.73","13,122.61","12,494.73","","1.73%"
"2023-8-20","12,494.73","12,575.71","12,576.00","12,337.09","","-0.64%"
"2023-8-13","12,575.71","12,865.36","12,865.36","12,545.72","","-2.25%"
"2023-8-6","12,865.36","13,278.84","13,278.84","12,865.36","","-3.11%"
"2023-7-30","13,278.84","13,266.99","13,566.56","13,071.53","","0.09%"
"2023-7-23","13,266.99","12,565.55","13,300.74","12,457.51","","5.58%"
"2023-7-16","12,565.55","12,806.36","12,806.36","12,476.26","","-1.88%"
"2023-7-9","12,806.36","12,441.77","12,841.64","12,441.77","","2.93%"
"2023-7-2","12,441.77","12,489.45","12,736.13","12,420.74","","-0.38%"
"2023-6-25","12,489.45","12,646.03","12,646.03","12,387.98","","-1.24%"
"2023-6-18","12,646.03","13,056.52","13,056.52","12,646.03","","-3.14%"
"2023-6-11","13,056.52","12,600.24","13,080.77","12,543.58","","3.62%"
"2023-6-4","12,600.24","12,601.64","12,691.18","12,406.79","","-0.01%"
"2023-5-28","12,601.64","12,624.70","12,676.16","12,289.49","","-0.18%"
